ENSG00000164037.12,[1.e-03 1.e+03 1.e+00],False
ENSG00000164038.10,[ 3.60975812 54.79453505  1.        ],False
ENSG00000164039.10,[ 2.07151324 49.50414281  2.75418626],False
ENSG00000138778.7,[  0.44523894 117.78422114  82.94075521],False
ENSG00000168772.9,[1.e-03 1.e+03 1.e+00],False
ENSG00000168769.8,[ 0.90903325 85.7591835   3.65027099],False
ENSG00000138777.15,[  4.70201447 151.69290956  18.19422894],False
ENSG00000236699.4,[1.e-03 1.e+03 1.e+00],False
ENSG00000138785.10,[ 2.23425091 25.81568958  2.13832001],False
ENSG00000138780.10,[ 3.49515957 64.73294754  1.        ],False
ENSG00000168743.8,[1.e-03 1.e+03 1.e+00],False
ENSG00000145348.12,[  0.5405731  145.56143194   5.7332332 ],False
ENSG00000164022.12,[  4.16294874 276.75514405  69.42945031],False
ENSG00000155011.4,[  1.40507998 145.62171027  20.46698795],False
ENSG00000138801.4,[1.22565678 2.18296817 1.11552127],False
ENSG00000164023.10,[  0.47507059 181.30207609   6.33491082],False
ENSG00000155016.13,[  2.27163734 357.11263023   1.        ],False
ENSG00000138796.11,[ 3.39179201 10.7620284   1.26730006],False
ENSG00000138795.5,[1.e-03 1.e+03 1.e+00],False
ENSG00000109475.12,[  3.93874331  23.7550068  167.59209792],True
ENSG00000198856.8,[ 4.27353944 98.6757626  42.31414627],False
ENSG00000164089.4,[1.e-03 1.e+03 1.e+00],False
ENSG00000188517.10,[  1.51965855 151.6596287    1.96085299],False
ENSG00000138802.7,[ 4.68075544 74.2888494   1.01261548],False
ENSG00000005059.11,[  3.97382021 724.90257786  86.1725169 ],False
ENSG00000138794.5,[ 2.82607358 27.50762004  1.76040817],False
ENSG00000123739.6,[3.28542285 7.34670887 1.        ],False
ENSG00000205403.8,[1.e-03 1.e+03 1.e+00],False
ENSG00000109534.12,[  4.57974725 248.3706891   52.23198514],False
ENSG00000180245.4,[1.e-03 1.e+03 1.e+00],False
ENSG00000183423.7,[1.e-03 1.e+03 1.e+00],False
ENSG00000138798.7,[  0.92917011 148.82596065   3.25208694],False
ENSG00000170522.5,[ 0.96664421 39.49560472  4.10625037],False
ENSG00000138792.5,[  0.62289435 111.60010151   5.23864557],False
ENSG00000164093.11,[  0.32430271 176.46263825   9.7011682 ],False
ENSG00000174749.5,[ 1.14610803 37.55993384  3.44568868],False
ENSG00000138660.7,[ 3.52148058 59.89480801  1.        ],False
ENSG00000145365.10,[ 1.50322287 80.42343588  2.99463603],False
ENSG00000073331.13,[  2.67166696 238.11068962   1.        ],False
ENSG00000178403.3,[1.e-03 1.e+03 1.e+00],False
ENSG00000138658.11,[ 3.26299675 91.40597     1.        ],False
ENSG00000174720.11,[  4.01376513 712.00238324  77.34282122],False
ENSG00000145362.12,[  0.24678968 227.8446795   12.05003183],False
ENSG00000145349.12,[ 1.75409193 43.65676463  2.10023914],False
ENSG00000180801.11,[  0.51910405 231.62520092   5.36792082],False
ENSG00000138653.5,[ 0.91355801 70.05030702  3.76167041],False
ENSG00000270394.1,[1.e-03 1.e+03 1.e+00],False
ENSG00000174599.4,[  2.68356846 219.17282713   1.0266776 ],False
ENSG00000164100.7,[1.e-03 1.e+03 1.e+00],False
ENSG00000164099.3,[  2.14024657 395.12736165   1.        ],False
ENSG00000234972.4,[1.e-03 1.e+03 1.e+00],False
ENSG00000185128.11,[1.e-03 1.e+03 1.e+00],False
ENSG00000161583.12,[1.e-03 1.e+03 1.e+00],False
ENSG00000197681.8,[1.e-03 1.e+03 1.e+00],False
ENSG00000242384.3,[1.e-03 1.e+03 1.e+00],False
ENSG00000224226.4,[1.e-03 1.e+03 1.e+00],False
ENSG00000137672.8,[1.e-03 1.e+03 1.e+00],False
ENSG00000187151.3,[1.e-03 1.e+03 1.e+00],False
ENSG00000110318.9,[2.28123773e-01 2.39162905e+02 1.34660562e+01],False
ENSG00000137691.8,[ 1.87993242 40.95079197  1.99681409],False
ENSG00000137693.9,[1.49814486 5.5598975  1.        ],False
ENSG00000023445.9,[1.e-03 1.e+03 1.e+00],False
